event_type,machine_id,operator_code,session_id,tag_id,po,del,oc,roll,timestamp
UNATTRIBUTED_SCAN,MACHINE-001,,,,,,,,2026-07-21 10:55:21
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2731846718904207;3304,2731846718904207,3304,2026-07-24 13:26:24
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2731846718904207;3303,2731846718904207,3303,2026-07-24 13:26:30
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2731846718904207;3302,2731846718904207,3302,2026-07-24 13:26:32
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2731846718904207;3301,2731846718904207,3301,2026-07-24 13:26:39
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2731846718904207;3300,2731846718904207,3300,2026-07-24 13:26:42
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3299,1908504414713453,3299,2026-07-24 13:26:46
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3298,1908504414713453,3298,2026-07-24 13:26:54
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3297,1908504414713453,3297,2026-07-24 13:26:59
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3296,1908504414713453,3296,2026-07-24 13:27:02
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2434199762304627;3295,2434199762304627,3295,2026-07-24 13:27:05
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2434199762304627;3294,2434199762304627,3294,2026-07-24 13:27:11
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2434199762304627;3295,2434199762304627,3295,2026-07-24 13:27:15
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3296,1908504414713453,3296,2026-07-24 13:27:18
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3297,1908504414713453,3297,2026-07-24 13:27:23
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3298,1908504414713453,3298,2026-07-24 13:27:36
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,1908504414713453;3299,1908504414713453,3299,2026-07-24 13:27:42
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,2731846718904207;3300,2731846718904207,3300,2026-07-24 13:27:44
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-24 13:23:20,,,,2026-07-24 13:28:15
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-24 13:30:50,,,,2026-07-24 13:30:50
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:30:50,1960285650859994;0002,1960285650859994,0002,2026-07-24 13:31:17
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:30:50,1960285650859994;0002,1960285650859994,0002,2026-07-24 13:31:40
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:30:50,1048249566500185;0005,1048249566500185,0005,2026-07-24 13:31:55
DUPLICATE_IGNORED,MACHINE-001,BF11921,BF11921_2026-07-24 13:30:50,1703125857169334;0005,1703125857169334,0005,2026-07-24 13:32:09
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-24 13:30:50,,,,2026-07-24 13:32:23
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-24 13:35:03,,,,2026-07-24 13:35:03
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:35:03,0007,0007,,2026-07-24 13:35:21
LOGIN_CONFLICT,MACHINE-001,BF12345,BF11921_2026-07-24 13:35:03,,,,2026-07-24 13:35:25
SCAN,MACHINE-001,BF11921,BF11921_2026-07-24 13:35:03,OP-00457,OP-00457,,2026-07-24 13:35:51
LOGIN_CONFLICT,MACHINE-001,BF98765,BF11921_2026-07-24 13:35:03,,,,2026-07-24 13:36:13
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-24 13:35:03,,,,2026-07-24 13:36:21
UNATTRIBUTED_SCAN,MACHINE-001,,,Aipl-26-27-0231.1,Aipl-26-27-0231.1,,2026-07-24 13:36:27
DUPLICATE_IGNORED,MACHINE-001,,,0007,0007,,2026-07-24 13:36:34
LOGIN,MACHINE-001,BF12345,BF12345_2026-07-24 13:36:37,,,,2026-07-24 13:36:37
LOGIN_CONFLICT,MACHINE-001,BF98765,BF12345_2026-07-24 13:36:37,,,,2026-07-24 13:36:45
LOGOUT,MACHINE-001,BF12345,BF12345_2026-07-24 13:36:37,,,,2026-07-24 13:36:49
